160/160 - 1850s - loss: 0.1192 - accuracy: 0.9619 - val_loss: 1.4079 - val_accuracy: 0.6706
160/160 - 1852s - loss: 0.0682 - accuracy: 0.9771 - val_loss: 0.1193 - val_accuracy: 0.9595
160/160 - 1850s - loss: 0.0662 - accuracy: 0.9775 - val_loss: 0.1451 - val_accuracy: 0.9556
160/160 - 1844s - loss: 0.0661 - accuracy: 0.9793 - val_loss: 0.1170 - val_accuracy: 0.9618
160/160 - 1848s - loss: 0.1252 - accuracy: 0.9652 - val_loss: 0.1050 - val_accuracy: 0.9681
160/160 - 1841s - loss: 0.0941 - accuracy: 0.9752 - val_loss: 0.0960 - val_accuracy: 0.9681
160/160 - 1884s - loss: 0.0357 - accuracy: 0.9883 - val_loss: 0.0887 - val_accuracy: 0.9704
160/160 - 1847s - loss: 0.1163 - accuracy: 0.9676 - val_loss: 0.1169 - val_accuracy: 0.9688
160/160 - 1840s - loss: 0.0519 - accuracy: 0.9820 - val_loss: 0.0883 - val_accuracy: 0.9704
160/160 - 1884s - loss: 0.1816 - accuracy: 0.9318 - val_loss: 0.1320 - val_accuracy: 0.9595
160/160 - 1858s - loss: 0.0302 - accuracy: 0.9904 - val_loss: 0.0905 - val_accuracy: 0.9751
160/160 - 1927s - loss: 0.0246 - accuracy: 0.9924 - val_loss: 0.1288 - val_accuracy: 0.9681
160/160 - 1903s - loss: 0.0398 - accuracy: 0.9889 - val_loss: 0.0957 - val_accuracy: 0.9743
160/160 - 1895s - loss: 0.0208 - accuracy: 0.9941 - val_loss: 0.0854 - val_accuracy: 0.9790
160/160 - 1883s - loss: 0.1935 - accuracy: 0.9394 - val_loss: 0.2321 - val_accuracy: 0.9369
160/160 - 1866s - loss: 0.0525 - accuracy: 0.9865 - val_loss: 0.1142 - val_accuracy: 0.9688
